Yıl,İl Kodu,İl Adı,Genel toplam,Genel toplam,Genel toplam,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlkokul,İlkokul,İlköğretim,İlköğretim,İlköğretim,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksek lisans,Yüksek lisans,Yüksek lisans,Doktora,Doktora,Doktora,Bilinmeyen,Bilinmeyen,Bilinmeyen
,,,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın
2008,77,  Yalova,182080,91251,90829,7085,1289,5796,31619,15297,16322,52776,24228,28548,17211,9145,8066,11051,6503,4548,32771,17990,14781,11251,6903,4348,553,369,184,99,66,33,17664,9461,8203
2008,78,  Karabük,200253,98507,101746,17123,3251,13872,36246,16682,19564,66114,30530,35584,19942,10161,9781,10360,7337,3023,31844,19186,12658,10842,7047,3795,384,259,125,120,95,25,7278,3959,3319
2008,79,  Kilis,105414,51741,53673,12432,2706,9726,28467,13260,15207,27128,13888,13240,12603,6633,5970,3394,2322,1072,11026,6831,4195,3267,2234,1033,112,75,37,32,24,8,6953,3768,3185
2008,80,  Osmaniye,410842,204416,206426,38429,7742,30687,93304,46662,46642,105958,51037,54921,46837,23871,22966,19423,13035,6388,63445,36445,27000,17289,11350,5939,534,365,169,67,41,26,25556,13868,11688
2008,81,  Düzce,298301,148324,149977,19064,3417,15647,63444,29392,34052,103245,50659,52586,31239,15625,15614,10877,7419,3458,42423,25470,16953,11928,7735,4193,605,372,233,184,126,58,15292,8109,7183
2009,,  Türkiye,65049093,32612307,32436786,4672257,915054,3757203,13517214,6583731,6933483,18523823,8937271,9586552,7432613,3967815,3464798,2795917,1786153,1009764,10379231,6002688,4376543,4320813,2534434,1786379,279268,166285,112983,95500,61301,34199,3032457,1657575,1374882
2009,1,  Adana,1838483,914799,923684,148634,29472,119162,398108,197196,200912,480531,235663,244868,211000,111116,99884,84733,51534,33199,312393,172724,139669,115455,66859,48596,5570,3173,2397,2044,1312,732,80015,45750,34265
2009,2,  Adıyaman,514226,256220,258006,64877,14374,50503,135198,66505,68693,113741,55886,57855,76735,39836,36899,16683,12208,4475,65335,41240,24095,18705,12894,5811,567,406,161,151,120,31,22234,12751,9483
2009,3,  Afyonkarahisar,632466,312888,319578,46634,7243,39391,124173,58666,65507,226976,107731,119245,76559,39001,37558,25895,18720,7175,83842,51914,31928,30655,19321,11334,1610,1018,592,588,447,141,15534,8827,6707
2009,4,  Ağrı,453257,236508,216749,65454,15413,50041,188673,93690,94983,63268,39844,23424,42625,28148,14477,5403,4106,1297,30167,22980,7187,8168,5760,2408,459,344,115,151,101,50,48889,26122,22767
2009,5,  Amasya,298595,148349,150246,19521,4320,15201,53562,25473,28089,101045,45460,55585,35420,18291,17129,12260,8481,3779,44969,27301,17668,18514,11985,6529,564,378,186,136,86,50,12604,6574,6030
2009,6,  Ankara,4228661,2102063,2126598,148657,22354,126303,682651,329085,353566,1004639,432489,572150,420745,225245,195500,247230,149311,97919,940506,510590,429916,525631,290392,235239,50647,29369,21278,19446,11588,7858,188509,101640,86869
2009,7,  Antalya,1721920,873275,848645,80378,14322,66056,300330,148572,151758,551892,268542,283350,191441,99966,91475,76272,47962,28310,294037,161802,132235,133408,76803,56605,5306,3153,2153,1780,1123,657,87076,51030,36046
